monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
27,0.5510204081632653,0.015962660312652477,0.0031379152227330926,0.0847237110137935,1,deployable_bridge,deployable_bridge,599,4C-80PER_4C,464865,452,551
24,0.4897959183673469,0.02346450090408314,0.007485178609689104,0.1796442866325385,1,deployable_bridge,deployable_bridge,600,4C-80PER_4C,464865,602,701
24,0.4897959183673469,0.022840142250061146,0.008067588011423746,0.19362211227416992,1,deployable_bridge,deployable_bridge,601,4C-80PER_4C,464865,752,851
26,0.5306122448979592,0.026397109031677246,0.007718955094997695,0.20069283246994007,1,deployable_bridge,deployable_bridge,602,4C-80PER_4C,464865,902,1001
23,0.46938775510204084,0.0340275764465332,0.014692710793536647,0.3379323482513429,1,deployable_bridge,deployable_bridge,603,4C-80PER_4C,464865,1052,1151
26,0.5306122448979592,0.011196017265320046,0.002701346690838145,0.07023501396179177,1,deployable_bridge,deployable_bridge,604,4_65C_44PER_5C,737292,1,100
26,0.5306122448979592,0.01844155788421631,0.004429035461865922,0.11515492200851396,1,deployable_bridge,deployable_bridge,605,4_65C_44PER_5C,737292,151,250
22,0.4489795918367347,0.04421442747116089,0.014829716899178254,0.3262537717819216,1,deployable_bridge,deployable_bridge,606,4_65C_44PER_5C,737292,301,400
26,0.5306122448979592,0.015739142894744984,0.0037203362354865355,0.09672874212264992,1,deployable_bridge,deployable_bridge,607,4_65C_69PER_6C,737384,1,100
25,0.5102040816326531,0.018111348152160645,0.007255189418792689,0.18137973546981723,1,deployable_bridge,deployable_bridge,608,4_65C_69PER_6C,737384,151,250
24,0.4897959183673469,0.03837549686431885,0.013555087149143219,0.32532209157943726,1,deployable_bridge,deployable_bridge,609,4_65C_69PER_6C,737384,301,400
27,0.5510204081632653,0.009961962699890137,0.0027114395742063335,0.073208868503571,1,deployable_bridge,deployable_bridge,610,4_8C-80PER_4_8C,465027,2,101
21,0.42857142857142855,0.010475337505340687,0.0035788303329830867,0.07515543699264482,1,deployable_bridge,deployable_bridge,611,4_8C-80PER_4_8C,465027,152,251
23,0.46938775510204084,0.012180328369140625,0.0054604799851127196,0.12559103965759255,1,deployable_bridge,deployable_bridge,612,4_8C-80PER_4_8C,465027,302,401
23,0.46938775510204084,0.013061702251434437,0.005306350148242467,0.12204605340957675,1,deployable_bridge,deployable_bridge,613,4_8C-80PER_4_8C,465027,452,551
